customer_id,customer_name,email,country,segment,signup_date,order_count,first_order_date,last_order_date,has_orders,signup_to_first_order_days,signup_order_date_status
300016,Gregory Cooley,,Australia,Corporate,02-04-2021,4,25-04-2023,22-08-2025,TRUE,753,Valid
300017,Alexander Hunt,javierdiaz@example.org,France,,18-08-2021,5,25-02-2022,09-12-2025,TRUE,191,Valid
300018,Bradley Holt,josepholson@example.org,Brazil,Online,23-10-2020,2,25-11-2023,25-06-2025,TRUE,1128,Valid
300019,Elizabeth Mcgee,zgraham@example.org,Australia,Wholesale,29-05-2022,5,06-03-2023,17-11-2025,TRUE,281,Valid
300020,Ryan Love,ygarcia@example.net,Brazil,,30-11-2021,1,11-05-2026,11-05-2026,TRUE,1623,Valid
300021,Tiffany Freeman,vhenderson@example.com,India,Online,22-03-2022,4,23-08-2022,08-07-2025,TRUE,154,Valid
300022,Lisa Patterson,nathaniel17@example.org,China,Corporate,28-09-2024,3,07-03-2025,27-11-2025,TRUE,160,Valid
300023,Dawn Ortiz,raymond12@example.com,Germany,Retail,10-02-2025,3,25-02-2025,30-07-2026,TRUE,15,Valid
300024,David Lewis,nathan51@example.org,United States,Wholesale,24-10-2022,8,22-11-2022,20-02-2025,TRUE,29,Valid
300025,Gary Marshall,rachel81@example.com,France,Wholesale,04-04-2022,3,24-01-2023,02-11-2025,TRUE,295,Valid
300026,Daniel Hoffman,berrydebbie@example.net,United Kingdom,Wholesale,30-01-2022,1,21-02-2022,21-02-2022,TRUE,22,Valid
300027,Francisco Gonzalez,rjimenez@example.com,Canada,Wholesale,11-06-2024,3,19-07-2024,17-02-2026,TRUE,38,Valid
300028,Kyle Garza,barbaramitchell@example.net,United States,Online,05-04-2021,4,08-04-2021,07-09-2024,TRUE,3,Valid
300029,Abigail Murray,,Canada,Corporate,31-07-2024,5,27-08-2024,17-07-2026,TRUE,27,Valid
300030,Matthew Jones,gallegosrobert@example.com,India,Online,03-04-2025,5,05-04-2025,09-04-2026,TRUE,2,Valid
300031,Jennifer Hawkins,troy06@example.com,Mexico,Wholesale,14-01-2022,3,02-04-2022,21-06-2025,TRUE,78,Valid
300032,Samuel Coffey,cameronsharon@example.org,France,Online,23-02-2024,5,02-03-2024,14-03-2026,TRUE,8,Valid
300033,Adam Garcia,michelle63@example.org,Vietnam,Corporate,23-10-2020,8,15-09-2021,28-04-2026,TRUE,327,Valid
300034,Robin Cabrera,villamiranda@example.com,Vietnam,Online,07-02-2021,2,17-05-2021,01-02-2026,TRUE,99,Valid
300035,Anthony Torres,mark96@example.com,Mexico,Online,29-01-2025,5,09-03-2025,08-05-2026,TRUE,39,Valid
300036,Lauren Wilson,michelle96@example.net,Canada,Wholesale,27-02-2024,3,07-04-2024,08-12-2025,TRUE,40,Valid
300037,Joseph Lane,ubray@example.net,Australia,Online,24-11-2022,6,23-01-2023,05-02-2026,TRUE,60,Valid
300038,Ralph Dawson,angelica33@example.net,China,Online,29-01-2023,5,18-05-2023,26-02-2025,TRUE,109,Valid
300039,Amy Smith,taylorcruz@example.com,Germany,Wholesale,20-01-2021,5,12-05-2022,24-12-2024,TRUE,477,Valid
300040,Kevin Rose,kathleen47@example.net,Mexico,Online,09-03-2021,9,27-08-2021,10-02-2026,TRUE,171,Valid
300041,Suzanne Robinson,paul79@example.net,Germany,Corporate,08-06-2021,0,,,FALSE,,Cannot Determine
300042,Barry Henderson,stephanie91@example.org,Germany,Retail,05-09-2021,2,18-06-2022,10-04-2026,TRUE,286,Valid
300043,Brian Smith,blopez@example.com,Vietnam,Online,20-12-2022,6,22-12-2022,23-06-2025,TRUE,2,Valid
300044,Derek Mcintosh,gomezjason@example.com,France,Corporate,22-12-2023,2,12-08-2024,23-12-2024,TRUE,234,Valid
300045,Amy Nelson,williamspatrick@example.com,Canada,Retail,05-03-2023,4,14-08-2023,15-05-2026,TRUE,162,Valid
300046,Christopher Hill,gstone@example.net,Japan,,20-08-2021,2,18-12-2021,18-05-2023,TRUE,120,Valid
300047,Brian Wilson,johnstonjohn@example.net,Canada,Retail,30-11-2020,7,26-01-2021,19-07-2025,TRUE,57,Valid
300048,Manuel Baldwin,,Canada,Online,03-03-2021,4,21-10-2023,12-04-2026,TRUE,962,Valid
300049,Kathleen Jackson,michaelroberts@example.net,Australia,Online,13-10-2024,4,22-05-2025,27-06-2026,TRUE,221,Valid
300050,Cody Velez,,Canada,Corporate,07-02-2022,3,19-04-2023,07-07-2026,TRUE,436,Valid
300051,Carol Cook,athomas@example.net,Canada,,07-07-2021,1,26-05-2023,26-05-2023,TRUE,688,Valid
300052,Christopher Baker,jacksonkathleen@example.org,Australia,Wholesale,14-01-2023,3,17-10-2024,21-12-2025,TRUE,642,Valid
300053,Lauren Freeman,thomaswilliams@example.org,Vietnam,Online,20-08-2023,5,27-02-2024,04-06-2026,TRUE,191,Valid
300054,Sara Fox MD,kimberlygarcia@example.net,France,Wholesale,07-02-2023,6,03-12-2023,03-07-2026,TRUE,299,Valid
300055,Gregory Gardner DDS,,India,Wholesale,05-05-2022,8,10-02-2023,21-05-2026,TRUE,281,Valid
300056,Patricia Vincent,rrodriguez@example.net,Germany,Retail,19-03-2024,3,30-04-2025,25-11-2025,TRUE,407,Valid
300057,William Chase,michaeljohnson@example.net,United Kingdom,Corporate,21-04-2024,5,16-02-2025,17-06-2026,TRUE,301,Valid
300058,Heather Garner,samanthagray@example.org,Brazil,Online,15-05-2024,6,19-06-2024,14-06-2026,TRUE,35,Valid
300059,Meghan Nolan,harcher@example.org,China,Online,28-06-2025,5,27-10-2025,01-08-2026,TRUE,121,Valid
300060,Stacy Myers,rlandry@example.com,India,Online,28-12-2021,3,19-06-2022,25-06-2025,TRUE,173,Valid
300061,Mia Flowers,hamiltonspencer@example.com,Germany,Online,13-08-2021,5,13-05-2023,14-10-2025,TRUE,638,Valid
300062,Kathryn Jennings,hbecker@example.com,Japan,Corporate,02-08-2022,4,28-04-2023,26-10-2024,TRUE,269,Valid
300063,Elizabeth Roberts,alexis03@example.com,China,Wholesale,14-10-2023,4,02-04-2024,16-01-2026,TRUE,171,Valid
300064,John Smith,donna00@example.com,Germany,Wholesale,16-10-2024,5,17-10-2024,17-06-2026,TRUE,1,Valid
300065,Rachel Shaw,stephaniereeves@example.org,Canada,Corporate,09-05-2021,4,16-05-2021,30-01-2026,TRUE,7,Valid
300066,Kevin Miller,antoniofitzpatrick@example.org,United Kingdom,Retail,23-08-2025,2,22-10-2025,08-01-2026,TRUE,60,Valid
300067,Jenny Rasmussen,orozcosamantha@example.net,United States,Wholesale,21-09-2024,1,13-06-2025,13-06-2025,TRUE,265,Valid
300068,Meghan Morris,feliciagonzalez@example.org,Brazil,Retail,21-03-2022,5,23-10-2022,20-03-2025,TRUE,216,Valid
300069,Eric Evans,ygardner@example.com,Japan,Corporate,30-09-2022,5,05-06-2023,16-07-2026,TRUE,248,Valid
300070,Melissa Gordon,taylor67@example.com,Germany,Online,22-02-2021,4,02-02-2024,13-09-2025,TRUE,1075,Valid
300071,Thomas Johnson,idavis@example.net,United Kingdom,Retail,21-06-2025,6,19-01-2026,11-07-2026,TRUE,212,Valid
300072,Lauren Watson,brian62@example.com,United Kingdom,Wholesale,13-03-2025,3,07-05-2025,31-07-2026,TRUE,55,Valid
300073,Phillip Holmes,,India,Online,06-01-2024,4,22-05-2024,15-02-2026,TRUE,137,Valid
300074,Samantha Cunningham,michelle19@example.net,Mexico,Retail,14-03-2021,3,21-10-2023,23-04-2026,TRUE,951,Valid
300075,Meredith Black,rtaylor@example.net,United States,,21-03-2023,2,14-04-2025,17-07-2026,TRUE,755,Valid
300076,Eric Hays,shaffercindy@example.org,Germany,Corporate,12-04-2024,2,02-01-2026,01-03-2026,TRUE,630,Valid
300077,Larry Martinez,wrightdale@example.org,Canada,,28-03-2021,3,17-03-2023,11-07-2025,TRUE,719,Valid
300078,Anthony Martinez,lwebb@example.org,Japan,Online,29-10-2024,3,08-11-2024,04-12-2025,TRUE,10,Valid
300079,Samantha Maldonado,reynoldsdaisy@example.org,Germany,,14-11-2024,5,06-08-2025,25-01-2026,TRUE,265,Valid
300080,Cynthia Hunt,thomasroberts@example.net,Mexico,Corporate,16-05-2021,4,08-06-2021,16-11-2024,TRUE,23,Valid
300081,Holly Hill,gwolfe@example.com,China,Corporate,01-03-2021,3,16-01-2022,11-01-2026,TRUE,321,Valid
300082,Alfred Bryant,tsmith@example.org,China,Wholesale,01-10-2022,6,12-10-2022,22-02-2026,TRUE,11,Valid
300083,Lisa Williams,sydney77@example.com,India,Retail,21-11-2023,4,28-02-2024,20-07-2026,TRUE,99,Valid
300084,Jonathan Callahan,michaelmccarthy@example.com,Mexico,,16-09-2020,2,21-10-2020,01-06-2023,TRUE,35,Valid
300085,Christian Rios,stephen24@example.net,Australia,Corporate,25-03-2023,5,03-06-2023,02-07-2026,TRUE,70,Valid
300086,Thomas Brewer,mestes@example.net,Vietnam,Online,07-03-2022,5,26-05-2022,24-05-2026,TRUE,80,Valid
300087,Katie Hopkins,david59@example.net,Japan,Online,26-07-2021,3,03-07-2024,19-11-2025,TRUE,1073,Valid
300088,Jennifer Williams,jesseortega@example.com,United States,Corporate,28-05-2022,7,30-08-2022,04-07-2024,TRUE,94,Valid
300089,Peter Zavala,danielgilmore@example.net,Mexico,Corporate,05-02-2025,9,12-04-2025,18-04-2026,TRUE,66,Valid
300090,Jennifer Brown,danny17@example.com,Mexico,Online,15-02-2025,3,20-03-2025,30-01-2026,TRUE,33,Valid
300091,Tammy Morris,ogray@example.net,Mexico,Wholesale,12-09-2023,3,11-12-2023,21-05-2026,TRUE,90,Valid
300092,John Shelton,jamesmartin@example.net,Japan,Online,13-06-2023,4,23-02-2024,19-03-2026,TRUE,255,Valid
300093,Kevin Soto,harrislisa@example.org,Australia,Online,15-09-2024,3,11-07-2025,26-03-2026,TRUE,299,Valid
300094,Joshua Jones,faithrosario@example.net,France,,18-06-2022,8,24-12-2022,26-03-2026,TRUE,189,Valid
300095,Ronnie Hudson MD,michael82@example.org,Australia,Retail,16-11-2023,1,08-11-2025,08-11-2025,TRUE,723,Valid
300096,Shelly Carroll,kimberlyevans@example.org,Brazil,Online,10-11-2022,2,12-11-2022,11-01-2023,TRUE,2,Valid
300097,Joshua Johnson,sandra46@example.net,Australia,Wholesale,27-02-2023,5,14-11-2023,27-07-2025,TRUE,260,Valid
300098,Brooke Roberts,melissafrederick@example.net,United States,Online,15-06-2022,5,28-08-2022,08-07-2026,TRUE,74,Valid
300099,Kimberly Snow,qgiles@example.net,United States,Retail,24-03-2022,3,05-12-2024,17-06-2026,TRUE,987,Valid
300100,Dean Cook,tayloramy@example.net,Japan,Wholesale,24-10-2020,1,18-06-2025,18-06-2025,TRUE,1698,Valid
300101,Susan Brown,kjones@example.net,Germany,Retail,24-04-2022,10,10-12-2022,07-07-2025,TRUE,230,Valid
300102,Amanda Zavala,ngeorge@example.org,Australia,Online,06-03-2024,5,02-04-2024,13-06-2026,TRUE,27,Valid
300103,Carl Cummings,,Japan,Retail,06-02-2025,4,21-05-2025,01-07-2026,TRUE,104,Valid
300104,Richard Walter,andrewbrown@example.org,China,Corporate,06-01-2022,2,29-11-2024,12-02-2025,TRUE,1058,Valid
300105,Melanie Rojas,xwilliams@example.com,Vietnam,,03-05-2023,3,26-11-2024,03-07-2026,TRUE,573,Valid
300106,Jeffery Taylor,nwilson@example.com,Vietnam,Retail,21-02-2024,6,01-07-2025,01-06-2026,TRUE,496,Valid
300107,Thomas Allen,chapmanjeremy@example.net,France,Online,04-06-2022,3,09-12-2024,26-11-2025,TRUE,919,Valid
300108,Kimberly Williams,,France,,05-06-2024,4,29-07-2024,25-07-2026,TRUE,54,Valid
300109,Christopher Williams,carrie34@example.org,United States,Online,17-01-2021,4,23-09-2022,12-06-2024,TRUE,614,Valid
300110,Bryan Jones,shawna37@example.net,France,Wholesale,11-09-2023,3,08-01-2024,24-04-2026,TRUE,119,Valid
300111,Thomas Robinson,shelly84@example.net,China,Retail,04-05-2024,5,15-05-2025,30-07-2026,TRUE,376,Valid
300112,Emma Weaver,brownrachel@example.net,United States,,19-11-2021,2,07-07-2022,16-02-2026,TRUE,230,Valid
300113,Mr. Thomas Skinner,kevintran@example.org,China,Retail,01-06-2025,6,27-12-2025,23-07-2026,TRUE,209,Valid
300114,Brenda Spence,dsantos@example.org,Canada,Corporate,11-07-2022,7,19-11-2022,27-04-2025,TRUE,131,Valid
300115,Debra Chapman,margaret10@example.com,Australia,Retail,08-10-2020,1,12-12-2025,12-12-2025,TRUE,1891,Valid
300116,Albert Reyes,nwilliams@example.com,India,Online,08-12-2024,3,09-03-2025,09-08-2025,TRUE,91,Valid
300117,Anthony Torres,sharon95@example.com,Australia,Retail,02-08-2021,4,25-03-2022,07-07-2026,TRUE,235,Valid
300118,Nicole Peterson,yglenn@example.net,Brazil,Wholesale,18-09-2024,1,06-07-2025,06-07-2025,TRUE,291,Valid
300119,Renee Tran,michele87@example.com,Vietnam,Online,22-04-2025,8,21-07-2025,01-08-2026,TRUE,90,Valid
300120,Kelly Martin,pmcdonald@example.org,France,Corporate,12-07-2023,7,21-04-2024,03-04-2026,TRUE,284,Valid
300121,Michael Hill,kelseyphillips@example.net,Vietnam,Retail,15-03-2025,1,19-03-2026,19-03-2026,TRUE,369,Valid
300122,Heidi Hopkins,martinezashley@example.com,Vietnam,Corporate,21-08-2022,4,30-08-2022,06-01-2026,TRUE,9,Valid
300123,Jill Smith,owenstammy@example.com,Brazil,Wholesale,04-11-2024,2,05-10-2025,13-07-2026,TRUE,335,Valid
300124,Jennifer Riley,,Germany,,08-11-2023,2,10-11-2023,22-11-2024,TRUE,2,Valid
300125,David Buchanan,misty23@example.net,Brazil,Retail,06-06-2025,5,30-06-2025,02-05-2026,TRUE,24,Valid
300126,Mary Hall,lopezwilliam@example.com,United Kingdom,Retail,15-07-2021,4,02-06-2022,31-03-2026,TRUE,322,Valid
300127,Mitchell Brown,theresa05@example.net,Canada,Online,25-07-2023,4,22-07-2024,25-02-2025,TRUE,363,Valid
300128,Hannah Jones,ewilson@example.org,Vietnam,Online,03-04-2024,10,10-04-2024,26-06-2026,TRUE,7,Valid
300129,Sandra Becker,maynancy@example.org,United States,,07-09-2021,4,20-08-2022,09-03-2025,TRUE,347,Valid
300130,Heather Hester,thomas49@example.org,India,Wholesale,15-10-2020,4,26-06-2023,08-07-2026,TRUE,984,Valid
300131,Timothy Buck,rodriguezjason@example.com,United Kingdom,Corporate,19-06-2021,8,15-01-2022,08-11-2025,TRUE,210,Valid
300132,Katie Perkins,shelby69@example.org,United States,Retail,21-03-2023,3,18-01-2024,28-05-2026,TRUE,303,Valid
300133,Phillip Banks,benjaminvictoria@example.net,Australia,Retail,13-12-2023,2,01-04-2024,04-02-2025,TRUE,110,Valid
300134,Kimberly Barnes,abbottallison@example.org,China,Online,08-03-2023,7,04-05-2023,17-07-2026,TRUE,57,Valid
300135,Kelly Stewart,marycarter@example.org,Germany,,13-09-2023,3,15-06-2024,16-01-2025,TRUE,276,Valid
300136,Vanessa Hall,kaitlin13@example.com,Canada,Retail,23-04-2022,3,09-09-2022,26-09-2025,TRUE,139,Valid
300137,Heidi Bell,melendezdenise@example.net,Australia,Online,30-04-2024,6,20-12-2024,19-07-2026,TRUE,234,Valid
300138,Crystal Carey,sarasanchez@example.com,United Kingdom,Retail,25-10-2021,4,10-12-2021,12-07-2025,TRUE,46,Valid
300139,Lisa Flynn,lee16@example.com,United Kingdom,Retail,13-01-2024,3,03-06-2024,20-02-2026,TRUE,142,Valid
300140,Johnny Keith,rachelwalter@example.org,Australia,,11-03-2023,3,10-12-2023,18-11-2024,TRUE,274,Valid
300141,Ralph Dawson,,Brazil,Retail,01-07-2021,1,06-06-2026,06-06-2026,TRUE,1801,Valid
300142,Christopher Jones,wstrong@example.org,Canada,Wholesale,31-10-2024,2,03-07-2025,22-05-2026,TRUE,245,Valid
300143,Michelle Wilson,brittany91@example.net,Australia,Retail,04-09-2022,4,14-03-2023,20-02-2025,TRUE,191,Valid
300144,Heather Cole,,Germany,Wholesale,21-11-2020,5,17-02-2021,02-07-2026,TRUE,88,Valid
300145,Chad White,,Canada,Wholesale,10-02-2022,5,16-12-2023,29-10-2025,TRUE,674,Valid
300146,Jamie Gonzales,shirley13@example.com,France,Corporate,07-07-2022,6,26-08-2022,03-06-2026,TRUE,50,Valid
300147,Joseph Fox,ymitchell@example.com,France,Corporate,17-02-2023,4,29-03-2024,17-11-2025,TRUE,406,Valid
300148,Amanda Landry,russellramirez@example.net,Germany,Corporate,13-06-2024,4,12-07-2025,14-05-2026,TRUE,394,Valid
300149,Christopher Roberts,kgonzales@example.com,United States,Wholesale,28-03-2022,5,03-11-2022,23-03-2026,TRUE,220,Valid
300150,Larry Rodriguez,elizabeththomas@example.org,Australia,Retail,11-05-2025,5,06-06-2025,17-07-2026,TRUE,26,Valid
300151,Caroline George,moyeramber@example.org,Mexico,,05-06-2023,3,28-01-2025,28-06-2026,TRUE,603,Valid
300152,Allison Harris,hdennis@example.org,Mexico,,12-09-2020,2,21-02-2021,06-05-2022,TRUE,162,Valid
300153,Brian Mccarthy,wallaceryan@example.com,China,Retail,26-10-2024,4,28-12-2024,01-07-2026,TRUE,63,Valid
300154,Donald Barnett,linda31@example.com,Mexico,,05-02-2021,5,20-06-2023,19-11-2024,TRUE,865,Valid
300155,Jesse Moss,mannleroy@example.org,India,Online,13-06-2021,3,01-01-2023,01-08-2024,TRUE,567,Valid
300156,Rebecca Stewart,averycourtney@example.org,Vietnam,Online,31-10-2022,1,05-04-2025,05-04-2025,TRUE,887,Valid
300157,Tony Nunez,theodore72@example.net,Vietnam,Corporate,07-05-2021,3,30-07-2021,02-09-2025,TRUE,84,Valid
300158,Mark Davis,aaronjones@example.net,Vietnam,Corporate,24-02-2023,3,08-07-2023,11-09-2024,TRUE,134,Valid
300159,Amanda Watts,pwelch@example.net,China,,21-09-2023,5,24-11-2023,31-03-2026,TRUE,64,Valid
300160,Tiffany Humphrey,nancycontreras@example.com,United States,Wholesale,29-05-2022,2,20-09-2022,14-05-2026,TRUE,114,Valid
300161,Howard Castillo,robinsonsydney@example.com,India,Retail,24-08-2024,4,28-09-2024,18-07-2026,TRUE,35,Valid
300162,David Coleman,stevenflores@example.org,United Kingdom,Wholesale,06-10-2022,6,05-11-2022,11-04-2025,TRUE,30,Valid
300163,Carl Khan,rburke@example.org,China,Corporate,27-05-2022,8,13-10-2022,01-08-2026,TRUE,139,Valid
300164,Daniel Rosales,xbrown@example.com,Japan,Retail,22-10-2020,4,19-11-2021,06-06-2024,TRUE,393,Valid
300165,James Ramos,dgreen@example.com,France,Wholesale,21-12-2021,4,22-10-2022,26-12-2024,TRUE,305,Valid
300166,Mark Williams,kortiz@example.org,Mexico,,03-02-2023,4,08-06-2023,28-02-2025,TRUE,125,Valid
300167,Ashley Donaldson,david80@example.net,China,Retail,06-05-2023,2,17-07-2023,03-06-2025,TRUE,72,Valid
300168,Richard Cook,katie81@example.net,China,Wholesale,08-10-2020,3,03-03-2024,17-03-2025,TRUE,1242,Valid
300169,Joseph Galloway,oheath@example.com,Canada,Wholesale,28-11-2020,2,30-12-2023,30-06-2025,TRUE,1127,Valid
300170,Erin Lewis,shelbyjohnson@example.org,United States,Corporate,02-09-2024,2,05-11-2025,01-04-2026,TRUE,429,Valid
300171,Kathryn Moody,,Germany,Corporate,09-06-2024,3,26-12-2025,01-08-2026,TRUE,565,Valid
300172,Amanda Brady,irios@example.net,Australia,Corporate,28-10-2023,2,27-06-2024,31-01-2025,TRUE,243,Valid
300173,Angela Wagner,vsmith@example.net,Australia,Retail,17-01-2025,3,30-01-2025,11-04-2026,TRUE,13,Valid
300174,Noah Sparks,marievillarreal@example.com,Germany,Online,09-09-2023,3,21-08-2025,17-02-2026,TRUE,712,Valid
300175,Elizabeth Stevens,bakerdiana@example.com,Brazil,Corporate,16-10-2022,3,25-12-2023,29-10-2025,TRUE,435,Valid
300176,Daniel Russell,,United Kingdom,Retail,19-07-2022,4,22-03-2023,10-02-2024,TRUE,246,Valid
300177,Monica Bean PhD,chavezbecky@example.org,Mexico,,30-07-2022,4,17-04-2024,30-05-2026,TRUE,627,Valid
300178,Jacob Hart,martin11@example.net,Japan,Wholesale,26-08-2022,3,01-05-2023,29-04-2024,TRUE,248,Valid
300179,Katherine Wright,richardmassey@example.net,United Kingdom,Corporate,07-06-2021,5,16-11-2021,14-08-2024,TRUE,162,Valid
300180,Crystal Saunders,robert52@example.org,Japan,Retail,12-04-2024,3,21-01-2026,10-05-2026,TRUE,649,Valid
300181,Jennifer Smith,karinorton@example.net,United Kingdom,Wholesale,04-09-2022,2,10-07-2023,27-12-2023,TRUE,309,Valid
300182,Cynthia Murray,vrobertson@example.net,Vietnam,Retail,01-03-2023,6,30-08-2023,15-07-2026,TRUE,182,Valid
300183,Michael Bennett,martinkaitlin@example.org,Germany,Retail,26-01-2021,1,12-03-2021,12-03-2021,TRUE,45,Valid
300184,Ashley Mcclure,zjackson@example.net,China,,26-08-2021,2,15-08-2023,12-05-2024,TRUE,719,Valid
300185,Kimberly Ross,david44@example.net,Japan,Wholesale,06-02-2023,1,08-12-2023,08-12-2023,TRUE,305,Valid
300186,Kristy Martin,alexandra39@example.net,Australia,,11-04-2022,5,16-10-2023,14-08-2025,TRUE,553,Valid
300187,Kaitlyn Clark,sara22@example.net,India,Wholesale,09-07-2022,3,10-03-2023,28-04-2026,TRUE,244,Valid
300188,Evan White,ajones@example.com,China,Corporate,28-03-2024,4,20-03-2025,17-07-2026,TRUE,357,Valid
300189,Brandon Ellis,browntaylor@example.org,United Kingdom,Online,03-03-2024,2,09-06-2024,11-02-2026,TRUE,98,Valid
300190,Sophia Cooper,reillyjoshua@example.com,China,Corporate,30-12-2020,4,23-11-2021,06-01-2026,TRUE,328,Valid
300191,Marcus Powell,ann31@example.net,India,,03-08-2023,0,,,FALSE,,Cannot Determine
300192,Diana Baker,martinezalexa@example.net,Vietnam,Corporate,05-06-2021,2,25-11-2022,25-04-2024,TRUE,538,Valid
300193,Raymond Vargas,tammy97@example.org,India,Wholesale,29-06-2024,5,15-09-2025,12-07-2026,TRUE,443,Valid
300194,Virginia Davis,douglasalvarez@example.org,Canada,Online,03-07-2021,5,24-12-2021,09-03-2024,TRUE,174,Valid
300195,Amy Hunt,ecoleman@example.com,Australia,Wholesale,13-04-2022,1,10-04-2023,10-04-2023,TRUE,362,Valid
300196,Cynthia Long,wmccarthy@example.com,Australia,Corporate,06-03-2022,4,16-10-2022,27-08-2025,TRUE,224,Valid
300197,Blake Jacobs,stephaniedougherty@example.com,Germany,Retail,11-09-2024,5,15-03-2025,21-03-2026,TRUE,185,Valid
300198,Kristina Henry,gina86@example.net,Canada,Retail,21-03-2024,2,13-02-2025,17-06-2025,TRUE,329,Valid
300199,Jacob Owens,jessica39@example.net,Mexico,Retail,28-05-2022,5,21-11-2022,16-05-2026,TRUE,177,Valid
300200,Cheryl Brooks,gonzalezmichael@example.org,United Kingdom,Wholesale,17-01-2025,1,19-10-2025,19-10-2025,TRUE,275,Valid
300201,Brandon Wood,wesley09@example.com,Germany,Retail,10-09-2020,2,14-07-2021,02-11-2021,TRUE,307,Valid
300202,John Williams,joshua09@example.org,United Kingdom,Retail,31-10-2020,4,22-03-2021,07-04-2026,TRUE,142,Valid
300203,Yolanda Chen,vthompson@example.net,India,,24-12-2024,6,01-01-2025,01-06-2026,TRUE,8,Valid
300204,Amanda Johnson,janicethompson@example.org,India,Retail,01-06-2024,5,22-04-2025,10-12-2025,TRUE,325,Valid
300205,Barbara Ramos,edwardsmichaela@example.com,United Kingdom,Retail,29-01-2021,3,04-03-2022,07-02-2024,TRUE,399,Valid
300206,Lucas Smith,rachael29@example.net,India,Online,31-07-2025,4,04-08-2025,11-06-2026,TRUE,4,Valid
300207,Teresa Powell,brownmandy@example.net,Vietnam,Retail,21-05-2025,5,10-09-2025,20-07-2026,TRUE,112,Valid
300208,Christopher Williams,haleyortiz@example.net,Vietnam,Retail,27-05-2021,3,13-10-2021,29-05-2025,TRUE,139,Valid
300209,April Hill,david79@example.net,United Kingdom,Online,25-05-2024,6,09-06-2024,09-06-2026,TRUE,15,Valid
300210,Anita Hardin,jessicalopez@example.net,Brazil,Retail,04-02-2021,1,29-03-2023,29-03-2023,TRUE,783,Valid
300211,Christopher Smith,steven34@example.net,China,Online,19-10-2023,5,28-09-2024,20-05-2026,TRUE,345,Valid
300212,Cheryl Campos,lancegray@example.com,Australia,Online,16-11-2023,7,17-12-2023,29-01-2026,TRUE,31,Valid
300213,Ethan Perez,joshuagonzalez@example.com,United Kingdom,Retail,22-07-2021,5,30-12-2021,20-03-2026,TRUE,161,Valid
300214,Brandon Kelly,michael87@example.net,Canada,Retail,17-12-2021,3,29-03-2022,09-03-2026,TRUE,102,Valid
300215,Travis Richards,,China,Corporate,06-02-2024,3,15-10-2024,23-03-2026,TRUE,252,Valid
300216,Melanie Roberts,holly88@example.net,Brazil,Online,01-11-2022,3,01-12-2023,05-03-2025,TRUE,395,Valid
300217,Raymond Scott,hgreen@example.net,Australia,Corporate,20-08-2024,5,23-09-2024,31-12-2025,TRUE,34,Valid
300218,Charles Willis,anne90@example.com,Brazil,Retail,16-12-2023,8,18-03-2024,11-07-2025,TRUE,93,Valid
300219,Sheila Smith,valvarez@example.net,Australia,Retail,03-03-2024,2,02-05-2024,18-12-2025,TRUE,60,Valid
300220,Hunter Martin,,Japan,,06-03-2025,0,,,FALSE,,Cannot Determine
300221,Jessica Ross,johnnybrooks@example.com,Australia,Online,12-12-2022,3,12-06-2024,08-10-2025,TRUE,548,Valid
300222,Andrew Hickman,,Australia,Wholesale,29-01-2023,6,09-04-2023,03-03-2026,TRUE,70,Valid
